City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,la passe,45.5549,-0.8967,10.13,66,100,6.01,FR,1713244037
187,kondagaon,19.6,81.6667,38.05,22,2,1.69,IN,1713244037
188,miandrivazo,-19.5167,45.4667,27.18,66,99,1.16,MG,1713244038
189,avarua,-21.2078,-159.775,26.03,73,20,3.09,CK,1713244039
190,kirkwood,38.5834,-90.4068,23.62,76,100,0.45,US,1713244040
191,tam ky,15.5667,108.4833,35.23,37,0,5.48,VN,1713244040
192,crane,31.3974,-102.3501,23.1,10,22,5.04,US,1713244040
193,flin flon,54.7682,-101.865,4.63,65,100,5.15,CA,1713244041
194,gadzhiyevo,69.2551,33.3362,-3.28,67,99,9.72,RU,1713244041
195,rock springs,41.5875,-109.2029,6.69,79,0,9.77,US,1713244041
196,hermanus,-34.4187,19.2345,16.56,91,27,3.93,ZA,1713244042
197,joao pinheiro,-17.7425,-46.1725,20.76,75,100,3.73,BR,1713244042
198,yamethin,20.4333,96.15,39.34,22,14,5.46,MM,1713244042
199,cheremukhovo,60.3484,59.9851,2.12,86,100,2.68,RU,1713244043
200,fale old settlement,-9.3852,-171.2468,27.96,78,100,2.24,TK,1713244043
201,si bun rueang,16.9667,102.2833,40.31,25,0,0.57,TH,1713243760
202,rikaze,29.25,88.8833,13.72,23,56,0.16,CN,1713243948
203,happy valley-goose bay,53.3168,-60.3315,1.76,87,20,2.21,CA,1713244044
204,leh,34.1667,77.5833,2.48,77,98,2.56,IN,1713244044
205,tralee,52.2704,-9.7026,7.49,77,98,7.79,IE,1713244045
206,buenos aires,-34.6132,-58.3772,18.88,87,40,9.39,AR,1713244045
207,nuuk,64.1835,-51.7216,1.34,100,100,1.03,GL,1713244045
208,panaba,21.2833,-88.2667,22.12,82,6,4.05,MX,1713244046
209,guerrero negro,27.9769,-114.0611,15.45,78,78,7.6,MX,1713244047
210,papao,-17.75,-149.55,28.82,82,100,9.1,PF,1713244047
211,atafu village,-8.5421,-172.5159,26.85,85,100,3.68,TK,1713244047
212,kochubey,44.3861,46.5825,19.26,48,86,1.66,RU,1713244048
213,kailua-kona,19.6406,-155.9956,23.98,90,100,0.45,US,1713244049
214,taoudenni,22.6783,-3.9836,23.54,22,0,2.29,ML,1713244049
215,khandyga,62.6667,135.6,-1.23,76,76,1.04,RU,1713244049
216,bubaque,11.2833,-15.8333,24.61,74,1,4.1,GW,1713244050
217,yorkton,51.2167,-102.4677,7.86,63,95,7.36,CA,1713244050
218,berdigestyakh,62.0989,126.6992,-0.52,85,99,3.53,RU,1713244050
219,marhaura,25.9667,84.8667,35.96,16,29,6.26,IN,1713244051
220,yamba,-5.9,22.3,22.44,89,25,1.17,CD,1713244051
221,paracale,14.2804,122.7881,30.67,56,38,3.85,PH,1713244052
222,malabar,-33.9667,151.25,25.09,68,20,5.14,AU,1713244052
223,kerikeri,-35.2268,173.9474,21.06,62,69,3.35,NZ,1713243924
224,huadian,42.9633,126.7478,15.59,47,24,6.23,CN,1713244053
225,dwarka,22.2394,68.9678,29.64,56,75,5.16,IN,1713244053
226,jeremie,18.65,-74.1167,26.12,84,34,1.22,HT,1713244053
227,birao,10.2849,22.7882,23.65,14,9,2.19,CF,1713244053
228,ad dilam,23.9915,47.1627,22.24,56,0,3.74,SA,1713244054
229,berlin,52.5244,13.4105,6.64,85,100,7.72,DE,1713244352
230,saint-memmie,48.9525,4.3841,7.01,81,73,8.64,FR,1713244054
231,tataouine,32.9297,10.4518,17.39,58,36,2.92,TN,1713244055
232,san andres,12.5847,-81.7006,28.01,78,40,4.63,CO,1713244016
233,san luis,-33.295,-66.3356,10.1,91,100,0.1,AR,1713243937
234,ust'-ilimsk,58.0006,102.6619,2.47,98,100,8.49,RU,1713244055
235,muynoq,43.7683,59.0214,20.32,30,23,3.81,UZ,1713244056
236,yulinshi,38.2906,109.7494,17.32,15,95,2.11,CN,1713244056
237,floresti,47.8933,28.3014,14.97,82,77,1.56,MD,1713244056
238,la foa,-21.7108,165.8276,25.67,66,91,4.73,NC,1713244056
239,narasannapeta,18.4167,84.05,36.18,39,0,5.62,IN,1713244057
240,ta`u,-14.2336,-169.5144,28.79,79,98,6.9,AS,1713244057
241,martapura,-3.4167,114.85,34.23,54,26,0.76,ID,1713244553
242,magadan,59.5667,150.8,-3.59,77,100,0.78,RU,1713244058
243,tamanrasset,22.785,5.5228,9.95,34,0,2.06,DZ,1713244058
244,bronderslev,57.2702,9.941,3.92,74,33,5.68,DK,1713244058
245,lesosibirsk,58.2358,92.4828,-3.94,64,100,4.0,RU,1713244059
246,kalmunai,7.4167,81.8167,30.21,70,100,2.6,LK,1713244059
247,puerto armuelles,8.2833,-82.8667,29.49,52,30,0.45,PA,1713244060
248,carnarvon,-24.8667,113.6333,29.1,40,93,4.36,AU,1713243891
249,nurota,40.5614,65.6886,16.16,53,100,2.76,UZ,1713244060
250,hassi messaoud,31.6804,6.0729,16.47,65,2,3.53,DZ,1713244060
251,mhamid,29.82,-5.72,19.9,24,31,5.11,MA,1713244061
252,kongolo,-5.3833,27.0,21.35,96,99,1.32,CD,1713244061
253,sorgun,39.8101,35.186,13.22,45,7,1.54,TR,1713244062
254,east dereham,52.6833,0.9333,7.72,87,99,9.97,GB,1713244062
255,miri,4.4148,114.0089,30.71,65,15,4.1,MY,1713244062
256,powell river,49.8496,-124.5361,6.77,62,98,6.46,CA,1713244062
257,qom,34.6401,50.8764,18.0,27,100,5.81,IR,1713244063
258,bengkulu,-3.8004,102.2655,30.87,66,15,3.16,ID,1713244063
259,la junta,37.985,-103.5438,9.16,23,0,4.63,US,1713244064
260,mulchen,-37.7167,-72.2333,13.06,85,91,1.93,CL,1713244065
261,val-d'or,48.1002,-77.7828,-0.95,86,100,4.63,CA,1713244065
262,uvinza,-5.1036,30.3911,19.21,97,83,1.83,TZ,1713244066
